Mineral Name,Mineral Name (plain),Valence Chemistry,IMA Chemistry,IMA Number,Country of Type Locality,IMA Status,isMineral
Abellaite,Abellaite,NaPb2(CO3)2(OH),NaPb2+2(CO3)2(OH),IMA2014-111,Spain,Approved,1
Abelloemringerite,Abelloemringerite,Cu2Pb2Mn3+Mn4+3O11(OH)(H2O)2·H2O,Cu2+2Pb2+2Mn3+Mn4+3O11(OH)(H2O)2·H2O,IMA2025-036,Republic of the Congo,"Approved,Pending publication",1
Abelsonite,Abelsonite,NiC31H32N4,Ni2+C31H32N4,IMA1975-013,USA,Approved,1
Abenakiite-(Ce),Abenakiite-(Ce),Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O,Na26Ce3+6(SiO3)6(PO4)6(CO3)6(S4+O2)O,IMA1991-054,Canada,Approved,1
Abernathyite,Abernathyite,K(UO2)(AsO4)·3H2O,K(U6+O2)As5+O4·3H2O,,USA,"Approved,Grandfathered",1
Abhurite,Abhurite,Sn2+21O6(OH)14Cl16,Sn2+21O6(OH)14Cl16,IMA1983-061,Saudi Arabia,Approved,1
Abramovite,Abramovite,Pb2SnInBiS7,Pb2+2Sn4+In3+Bi3+S2-7,IMA2006-016,Russia,Approved,1
Abswurmbachite,Abswurmbachite,Cu2+Mn3+6O8(SiO4),Cu2+Mn3+6O8(SiO4),IMA1990-007,Greece,Approved,1
Abuite,Abuite,CaAl2(PO4)2F2,CaAl2(PO4)2F2,IMA2014-084,Japan,Approved,1
Acanthite,Acanthite,Ag2S,Ag1+2S2-,,Czech Republic,"Approved,Grandfathered",1
Acetamide,Acetamide,CH3CONH2,CH3CONH2,IMA1974-039,Ukraine,Approved,1
Achalaite,Achalaite,Fe2+TiNb2O8,Fe2+Ti4+Nb5+2O8,IMA2013-103,Argentina,Approved,1
Achávalite,Achavalite,FeSe,FeSe,,Argentina,"Approved,Renamed",1
Achyrophanite,Achyrophanite,"(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5","(K,Na)3(Fe3+,Ti4+,Al,Mg)5O2(As5+O4)5",IMA2018-011,Russia,Approved,1
Acmonidesite,Acmonidesite,"(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8","(N3-H4,K,Pb2+,Na)9Fe2+4(S6+O4)5Cl8",IMA2013-068,Italy,Approved,1
Actinolite,Actinolite,[box]Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,IMA2012 s.p.,Germany / Austria,"Approved,Redefined",1
Acuminite,Acuminite,SrAlF4(OH)·H2O,SrAlF4(OH)·H2O,IMA1986-038,Denmark (Greenland),Approved,1
Adachiite,Adachiite,CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),IMA2012-101,Japan,Approved,1
Adamite,Adamite,Zn2(AsO4)(OH),Zn2+2As5+O4(OH),,Chile,"Approved,Grandfathered",1
Adamsite-(Y),Adamsite-(Y),NaY(CO3)2·6H2O,NaY(CO3)2·6H2O,IMA1999-020,Canada,Approved,1
Adanite,Adanite,Pb2(Te4+O3)(SO4),Pb2+2(Te4+O3)(S6+O4),IMA2019-088,USA,Approved,1
Addibischoffite,Addibischoffite,Ca2Al6Al6O20,Ca2Al6Al6O20,IMA2015-006,Algeria (meteorite),Approved,1
Adelite,Adelite,CaMg(AsO4)(OH),CaMgAs5+O4(OH),,Sweden,"Approved,Grandfathered",1
Admontite,Admontite,MgB6O10·7H2O,MgB6O10·7H2O,IMA1978-012,Austria,Approved,1
Adolfpateraite,Adolfpateraite,K(UO2)(SO4)(OH)(H2O),K(U6+O2)(S6+O4)(OH)(H2O),IMA2011-042,Czech Republic,Approved,1
Adranosite,Adranosite,(NH4)4NaAl2(SO4)4Cl(OH)2,(N3-H4)4NaAl2(S6+O4)4Cl(OH)2,IMA2008-057,Italy,Approved,1
Adranosite-(Fe),Adranosite-(Fe),(NH4)4NaFe2(SO4)4Cl(OH)2,(N3-H4)4NaFe3+2(S6+O4)4Cl(OH)2,IMA2011-006,Italy,Approved,1
Adrianite,Adrianite,Ca12(Al4Mg3Si7)O32Cl6,Ca12(Al4Mg3Si7)O32Cl6,IMA2014-028,Mexico (meteorite),Approved,1
Aegirine,Aegirine,NaFe3+Si2O6,NaFe3+Si2O6,IMA1998 s.p.,Norway,Approved,1
Aegirine-augite,Aegirine-augite,"(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6","(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6",IMA1988 s.p.,Russia,"Approved,Redefined",1
Aenigmatite,Aenigmatite,Na4[Fe2+10Ti2]O4[Si12O36],Na4(Fe2+10Ti4+2)O4[Si12O36],IMA1967 s.p.,Denmark (Greenland),Approved,1
Aerinite,Aerinite,"(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O",IMA1988 s.p.,Spain,"Approved,Redefined",1
Aerugite,Aerugite,Ni8.5(AsO4)2As5+O8,Ni2+8.5(As5+O4)2As5+O8,IMA1965 s.p.,Germany,"Approved,Redefined",1
Aeschynite-(Ce),Aeschynite-(Ce),Ce(TiNb)O6,Ce3+(Ti4+Nb5+)O6,IMA1987 s.p.,Russia,"Approved,Renamed",1
Aeschynite-(Nd),Aeschynite-(Nd),Nd(TiNb)O6,Nd(Ti4+Nb5+)O6,IMA1987 s.p.,China,Approved,1
Aeschynite-(Y),Aeschynite-(Y),Y(TiNb)O6,Y(Ti4+Nb5+)O6,IMA1987 s.p.,Norway,"Approved,Renamed",1
Afghanite,Afghanite,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6","(Na,K)22Ca10(Si24Al24)O96(S6+O4)6Cl6",IMA1967-041,Afghanistan,Approved,1
Afmite,Afmite,Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O,Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O,IMA2005-025a,France,Approved,1
Afwillite,Afwillite,Ca3[SiO4][SiO2(OH)2]·2H2O,Ca3(SiO4)(SiO2(OH)2)·2H2O,,South Africa,"Approved,Grandfathered",1
Agaite,Agaite,Pb3Cu2+Te6+O5(OH)2(CO3),Pb2+3Cu2+Te6+O5(OH)2(CO3),IMA2011-115,USA,Approved,1
Agakhanovite-(Y),Agakhanovite-(Y),YCa[box]2KBe3Si12O30,YCa[box]2KBe3Si12O30,IMA2013-090,Norway,Approved,1
Agardite-(Ce),Agardite-(Ce),CeCu2+6(AsO4)3(OH)6·3H2O,Cu2+6Ce3+(As5+O4)3(OH)6·3H2O,IMA2003-030,Germany,Approved,1
Agardite-(La),Agardite-(La),LaCu2+6(AsO4)3(OH)6·3H2O,Cu2+6La3+(As5+O4)3(OH)6·3H2O,IMA1980-092,USA,Approved,1
Agardite-(Nd),Agardite-(Nd),NdCu2+6(AsO4)3(OH)6·3H2O,Cu2+6Nd(As5+O4)3(OH)6·3H2O,IMA2010-056,Greece,Approved,1
Agardite-(Y),Agardite-(Y),YCu2+6(AsO4)3(OH)6·3H2O,Cu2+6Y(As5+O4)3(OH)6·3H2O,"IMA1968-021, IMA1987 s.p.",Morocco,"Approved,Renamed",1
Agmantinite,Agmantinite,Ag2MnSnS4,Ag1+2Mn2+Sn4+S2-4,IMA2014-083,Peru,Approved,1
Agrellite,Agrellite,NaCa2Si4O10F,NaCa2Si4O10F,IMA1973-032,Canada,Approved,1
Agricolaite,Agricolaite,K4(UO2)(CO3)3,K4(U6+O2)(CO3)3,IMA2009-081,Czech Republic,Approved,1
Agrinierite,Agrinierite,K2Ca[(UO2)3O3(OH)2]2·5H2O,K2Ca[(U6+O2)3O3(OH)2]2·5H2O,IMA1971-046,France,Approved,1
Aguilarite,Aguilarite,Ag4SeS,Ag1+4Se2-S2-,,Mexico,"Approved,Grandfathered",1
Aheylite,Aheylite,Fe2+Al6(PO4)4(OH)8·4H2O,Fe2+Al6(PO4)4(OH)8·4H2O,IMA1984-036,Bolivia,Approved,1
Ahlfeldite,Ahlfeldite,Ni(SeO3)·2H2O,Ni2+Se4+O3·2H2O,,Bolivia,"Approved,Grandfathered",1
Ahrensite,Ahrensite,SiFe2O4,SiFe2+2O4,IMA2013-028,Morocco (meteorite),Approved,1
Aikinite,Aikinite,CuPbBiS3,Cu1+Pb2+Bi3+S2-3,,Russia,"Approved,Grandfathered",1
Aiolosite,Aiolosite,Na2(Na2Bi)(SO4)3Cl,Na2(Na2Bi3+)(S6+O4)3Cl,IMA2008-015,Italy,Approved,1
Airdite,Airdite,Sr(V4+O)2(PO4)2·4H2O,Sr(V4+O)2(PO4)2·4H2O,IMA2020-046,Australia,Approved,1
Ajoite,Ajoite,K3Cu2+20Al3Si29O76(OH)16·8H2O,K3Cu2+20Al3Si29O76(OH)16·8H2O,,USA,Approved,1
Akaganeite,Akaganeite,"(Fe3+,Ni2+)8(OH,O)16Cl1.25·nH2O","(Fe3+,Ni2+)8(OH,O)16Cl1.25·nH2O",IMA1962-004,Japan,"Approved,Renamed",1
Akaogiite,Akaogiite,TiO2,Ti4+O2,IMA2007-058,Germany,Approved,1
Akasakaite-(Ce),Akasakaite-(Ce),CaCe(Al2Mn2+)(Si2O7)(SiO4)O(OH),CaCe3+(Al2Mn2+)(Si2O7)(SiO4)O(OH),IMA2025-001,Japan,"Approved,Pending publication",1
Akasakaite-(La),Akasakaite-(La),CaLa(Al2Mn2+)(Si2O7)(SiO4)O(OH),CaLa(Al2Mn2+)(Si2O7)(SiO4)O(OH),IMA2025-002,Japan,"Approved,Pending publication",1
Akatoreite,Akatoreite,Mn2+9Al2Si8O24(OH)8,Mn2+9Al2Si8O24(OH)8,IMA1969-015,New Zealand,Approved,1
Akdalaite,Akdalaite,Al5O7(OH),Al5O7(OH),IMA1969-002,Kazakhstan,Approved,1
Åkermanite,Akermanite,Ca2MgSi2O7,Ca2MgSi2O7,,Sweden,"Approved,Grandfathered",1
Akhtenskite,Akhtenskite,MnO2,Mn4+O2,IMA1982-072,Russia,Approved,1
Akimotoite,Akimotoite,MgSiO3,MgSiO3,IMA1997-044,Australia (meteorite),Approved,1
Aklimaite,Aklimaite,Ca4[Si2O5(OH)2](OH)4·5H2O,Ca4[Si2O5(OH)2](OH)4·5H2O,IMA2011-050,Russia,Approved,1
Akopovaite,Akopovaite,Al4Li2(OH)12(CO3)(H2O)3,Al4Li2(OH)12(CO3)(H2O)3,IMA2018-095,Kyrgyzstan,Approved,1
Akrochordite,Akrochordite,MnMn2Mn2(AsO4)2(OH)4(H2O)4,Mn2+Mn2+2Mn2+2(As5+O4)2(OH)4(H2O)4,,Sweden,"Approved,Grandfathered,Redefined",1
Aksaite,Aksaite,MgB6O7(OH)6·2H2O,MgB6O7(OH)6·2H2O,IMA1967 s.p.,Kazakhstan,Approved,1
Aktashite,Aktashite,Cu6Hg3As4S12,Cu1+6Hg2+3As3+4S2-12,IMA2008 s.p.,Russia,"Approved,Redefined",1
Alabandite,Alabandite,MnS,Mn2+S2-,,Romania / Turkey,"Approved,Grandfathered",1
Alacránite,Alacranite,As8S9,As8S9,IMA1985-033,Russia,"Approved,Renamed",1
Alamosite,Alamosite,PbSiO3,Pb2+SiO3,,Mexico,"Approved,Grandfathered",1
Alarsite,Alarsite,Al(AsO4),AlAs5+O4,IMA1993-003,Russia,Approved,1
Albertiniite,Albertiniite,Fe2+(SO3)·3H2O,Fe2+(S4+O3)·3H2O,IMA2015-004,Italy,Approved,1
Albite,Albite,Na(AlSi3O8),NaAlSi3O8,,Sweden,"Approved,Grandfathered",1
Albrechtschraufite,Albrechtschraufite,MgCa4F2[UO2(CO3)3]2·17-18H2O,Ca4Mg(U6+O2)2(CO3)6F2·17H2O,IMA1983-078,Czech Republic,Approved,1
Alburnite,Alburnite,Ag8GeTe2S4,Ag1+8GeTe2-2S2-4,IMA2012-073,Romania,Approved,1
Alcantarillaite,Alcantarillaite,[Fe3+0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(AsO4)2O7],[Fe3+0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(As5+O4)2O7],IMA2019-072,Spain,Approved,1
Alcaparrosaite,Alcaparrosaite,K3Ti4+Fe3+(SO4)4O(H2O)2,K3Ti4+Fe3+(S6+O4)4O·2H2O,IMA2011-024,Chile,Approved,1
Aldermanite,Aldermanite,[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH)6]·H2O,[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH)6]·H2O,"IMA1980-044, IMA2020-I, IMA2021",Australia,"Approved,Redefined",1
Aldomarinoite,Aldomarinoite,Sr2Mn3+(AsO4)2(OH),Sr2Mn3+(As5+O4)2(OH),IMA2021-054,Italy,Approved,1
Aldridgeite,Aldridgeite,"(Cd,Ca)(Cu,Zn)4(SO4)2(OH)6·3H2O","(Cd2+,Ca)(Cu2+,Zn2+)4(S6+O4)2(OH)6·3H2O",IMA2010-029,Australia,Approved,1
Aleksandrovite,Aleksandrovite,KCa7Sn2Li3Si12O36F2,KCa7Sn4+2Li3Si12O36F2,IMA2009-004,Tajikistan,Approved,1
Aleksite,Aleksite,PbBi2Te2S2,Pb2+Bi3+2Te2-2S2-2,IMA1977-038,Russia,Approved,1
Aleutite,Aleutite,[Cu5O2](AsO4)(VO4)·(Cu0.5[box]0.5)Cl,[Cu2+5O2](As5+O4)(V5+O4)·(Cu2+0.5[box]0.5)Cl,IMA2018-014,Russia,Approved,1
Alexearlite,Alexearlite,Hg3(MoO4)S2,Hg2+3(Mo6+O4)S2-2,IMA2024-039,USA,"Approved,Pending publication",1
Alexkhomyakovite,Alexkhomyakovite,K6(Ca2Na)(CO3)5Cl·6H2O,K6(Ca2Na)(CO3)5Cl·6H2O,IMA2015-013,Russia,Approved,1
Alexkuznetsovite-(Ce),Alexkuznetsovite-(Ce),Ce2Mn(CO3)(Si2O7),Ce3+2Mn2+(CO3)(Si2O7),IMA2019-118,Russia,Approved,1
Alexkuznetsovite-(La),Alexkuznetsovite-(La),La2Mn(CO3)(Si2O7),La2Mn2+(CO3)(Si2O7),IMA2019-081,Russia,Approved,1
Alflarsenite,Alflarsenite,NaCa2Be3Si4O13(OH)·2H2O,NaCa2Be3Si4O13(OH)·2H2O,IMA2008-023,Norway,Approved,1
Alforsite,Alforsite,Ba5(PO4)3Cl,Ba5(PO4)3Cl,IMA1980-039,USA,Approved,1
Alfredcasparite,Alfredcasparite,Sr2TiO(Si2O7),Sr2Ti4+O(Si2O7),IMA2023-024,Germany,Approved,1
Alfredopetrovite,Alfredopetrovite,Al2(Se4+O3)3·6H2O,Al2(Se4+O3)3·6H2O,IMA2015-026,Bolivia,Approved,1
Alfredstelznerite,Alfredstelznerite,Ca4(H2O)4[B4O4(OH)6]4(H2O)15,Ca4B16O16(OH)24·19H2O,IMA2007-050,Argentina,Approved,1
Algodonite,Algodonite,Cu1-xAsx (x ≈ 0.15),Cu1-xAsx (x ≈ 1/7),,Chile,"Approved,Grandfathered",1
Alicewilsonite-(YCe),Alicewilsonite-(YCe),Na2Sr2YCe(CO3)6·3H2O,Na2Sr2YCe3+(CO3)6·3H2O,IMA2020-055,Canada,Approved,1
Alicewilsonite-(YLa),Alicewilsonite-(YLa),Na2Sr2YLa(CO3)6·3H2O,Na2Sr2YLa(CO3)6·3H2O,IMA2021-047,Australia,Approved,1
Aliettite,Aliettite,"Ca0.2Mg6(Si,Al)8O20(OH)4·4H2O","Ca0.2Mg6(Si,Al)8O20(OH)4·4H2O",,Italy,"Approved,Redefined",1
Allabogdanite,Allabogdanite,"(Fe,Ni)2P","(Fe,Ni)2P",IMA2000-038,Russia (meteorite),Approved,1
Allactite,Allactite,Mn2+7(AsO4)2(OH)8,Mn2+7(As5+O4)2(OH)8,IMA1980 s.p.,Sweden,Approved,1
Allanite-(Ce),Allanite-(Ce),CaCe(Al2Fe2+)[Si2O7][SiO4]O(OH),CaCe3+Al2Fe2+(Si2O7)(SiO4)O(OH),IMA1987 s.p.,Denmark (Greenland),"Approved,Renamed",1
Allanite-(La),Allanite-(La),CaLa(Al2Fe2+)[Si2O7][SiO4]O(OH),CaLaFe2+Al2(Si2O7)(SiO4)O(OH),IMA2003-065,Italy,Approved,1
Allanite-(Nd),Allanite-(Nd),CaNd(Al2Fe2+)[Si2O7][SiO4]O(OH),CaNdAl2Fe2+(Si2O7)(SiO4)O(OH),IMA2010-060,Sweden,Approved,1
Allanite-(Sm),Allanite-(Sm),CaSm(Al2Fe2+)(Si2O7)(SiO4)O(OH),CaSm(Al2Fe2+)(Si2O7)(SiO4)O(OH),IMA2023-114,Poland,Approved,1
Allanite-(Y),Allanite-(Y),CaY(Al2Fe2+)(Si2O7)(SiO4)O(OH),CaYAl2Fe2+(Si2O7)(SiO4)O(OH),IMA1966 s.p.,South Africa,"Approved,Renamed",1
Allanpringite,Allanpringite,Fe3+3(PO4)2(OH)3·5H2O,Fe3+3(PO4)2(OH)3·5H2O,IMA2004-050,Germany,Approved,1
Allantoin,Allantoin,C4H6N4O3,C4H6N4O3,IMA2020-004a,USA,Approved,1
Allargentum,Allargentum,Ag1-xSbx (x ≈ 0.09-0.16),Ag1-xSbx (x=0.09-0.16),IMA1970 s.p.,Canada,"Approved,Redefined",1
Alleghanyite,Alleghanyite,Mn2+5(SiO4)2(OH)2,Mn2+5(SiO4)2(OH)2,,USA,"Approved,Grandfathered",1
Allendeite,Allendeite,Sc4Zr3O12,Sc4Zr4+3O12,IMA2007-027,Mexico (meteorite),Approved,1
Allochalcoselite,Allochalcoselite,Cu1+Cu2+5PbO2(SeO3)2Cl5,Cu1+Cu2+5Pb2+O2(Se4+O3)2Cl5,IMA2004-025,Russia,Approved,1
Alloclasite,Alloclasite,CoAsS,Co3+(AsS)3-,,Romania,"Approved,Grandfathered",1
Allophane,Allophane,Al2O3(SiO2)1.3-2.0·2.5-3.0H2O,Al2O3(SiO2)1.3-2.0·2.5-3.0H2O,,Germany,"Approved,Grandfathered",1
Alloriite,Alloriite,"(Na,K,Ca)24(Na,Ca)4Ca4(Si,Al)48O96(SO4)4(SO3,CO3)2(OH,Cl)2(H2O,OH)4","(Na,K,Ca)24(Na,Ca)4Ca4(Si,Al)48O96(S6+O4)4(S4+O3,CO3)2(OH,Cl)2(H2O,OH)4",IMA2006-020,Italy,Approved,1
Alluaivite,Alluaivite,"Na19(Ca,Mn2+)6(Ti,Nb)3Si26O74Cl·2H2O","Na19(Ca,Mn2+)6(Ti4+,Nb5+)3Si26O74Cl·2H2O",IMA1988-052,Russia,Approved,1
Alluaudite,Alluaudite,[box]NaMnFe3+2(PO4)3,[box]NaMn2+Fe3+2(PO4)3,IMA1979 s.p.,France,"Approved,Redefined",1
Almagreraite,Almagreraite,CuZnMn4+3O8,Cu2+Zn2+Mn4+3O8,IMA2025-025,Spain,"Approved,Pending publication",1
Almandine,Almandine,Fe2+3Al2(SiO4)3,Fe2+3Al2(SiO4)3,,Turkey,"Approved,Grandfathered",1
Almarudite,Almarudite,"K([box],Na)2(Mn,Fe,Mg)2[(Be,Al)3Si12]O30","K([box],Na)2(Mn2+,Fe2+,Mg)2[(Be,Al)3Si12]O30",IMA2002-048,Germany,Approved,1
Almeidaite,Almeidaite,"PbZn2(Mn,Y)(Ti,Fe3+)18O36(OH,O)2","Pb2+Zn2+2(Mn2+,Y)(Ti4+,Fe3+)18O36(OH,O)2",IMA2013-020,Brazil,Approved,1
Alnaperbøeite-(Ce),Alnaperboeite-(Ce),(CaCe2.5Na0.5)(Al4)(Si2O7)(SiO4)3O(OH)2,(CaCe3+2.5Na0.5)Al4(Si2O7)(SiO4)3O(OH)2,IMA2012-054,Norway,Approved,1
Alpeite,Alpeite,Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(VO4)(OH)6,Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(V5+O4)(OH)6,IMA2016-072,Italy,Approved,1
Alpersite,Alpersite,Mg(SO4)·7H2O,MgS6+O4·7H2O,IMA2003-040,USA,Approved,1
Alsakharovite-Zn,Alsakharovite-Zn,"NaSrKZn(Ti,Nb)4(Si4O12)2(O,OH)4·7H2O","NaSrKZn2+(Ti4+,Nb5+)4(Si4O12)2(O,OH)4·7H2O",IMA2002-003,Russia,Approved,1
Alstonite,Alstonite,BaCa(CO3)2,BaCa(CO3)2,,United Kingdom,"Approved,Grandfathered",1
Altaite,Altaite,PbTe,Pb2+Te2-,,Kazakhstan,"Approved,Grandfathered",1
Alterite,Alterite,Zn2Fe3+4(SO4)4(C2O4)2(OH)4·17H2O,Zn2+2Fe3+4(S6+O4)4((C2)6+O4)2(OH)4·17H2O,IMA2018-070,USA,Approved,1
Althausite,Althausite,"Mg4(PO4)2(OH,O)(F,[box])","Mg4(PO4)2(OH,O)(F,[box])",IMA1974-050,Norway,Approved,1
Althupite,Althupite,AlTh(UO2)7(PO4)4O2(OH)5·15H2O,AlTh4+(U6+O2)7(PO4)4O2(OH)5·15H2O,IMA1986-003,Democratic Republic of the Congo,Approved,1
Altisite,Altisite,Na3K6Ti2Al2Si8O26Cl3,Na3K6Ti4+2Al2Si8O26Cl3,IMA1993-055,Russia,Approved,1
Aluminite,Aluminite,Al2(SO4)(OH)4·7H2O,Al2S6+O4(OH)4·7H2O,,Germany,"Approved,Grandfathered",1
Aluminium,Aluminium,Al,Al,IMA1980-085a,Russia,Approved,1
Aluminoceladonite,Aluminoceladonite,"K(Mg,Fe2+)Al(Si4O10)(OH)2","K(Mg,Fe2+)AlSi4O10(OH)2",IMA1998 s.p.,Austria / Poland,Approved,1
Aluminocerite-(CeCa),Aluminocerite-(CeCa),(Ce6Ca3)[box]Al(SiO4)3(SiO3OH)4(OH)3,(Ce3+6Ca3)[box]Al(SiO4)3(SiO3OH)4(OH)3,"IMA2007-060, IMA2023 s.p.",Italy,"Approved,Redefined",1
Aluminocopiapite,Aluminocopiapite,"(Al,Mg)Fe3+4(SO4)6(OH,O)2·20H2O","(Al,Mg)Fe3+4(S6+O4)6(OH,O)2·20H2O",,USA,"Approved,Grandfathered",1
Aluminocoquimbite,Aluminocoquimbite,Al2Fe2(SO4)6(H2O)12·9H2O,Al2Fe3+2(S6+O4)6(H2O)12·9H2O,IMA2009-095,Italy,Approved,1
Aluminomagnesiohulsite,Aluminomagnesiohulsite,Mg2AlO2(BO3),Mg2AlO2(BO3),IMA2002-038,Russia,"Approved,Renamed",1
Alumino-oxy-rossmanite,Alumino-oxy-rossmanite,Al3Al6(Si5AlO18)(BO3)3(OH)3O,Al3Al6(Si5AlO18)(BO3)3(OH)3O,IMA2020-008b,Austria,Approved,1
Aluminopyracmonite,Aluminopyracmonite,(NH4)3Al(SO4)3,(N3-H4)3Al(S6+O4)3,IMA2012-075,Italy,Approved,1
Aluminosugilite,Aluminosugilite,KNa2Al2Li3Si12O30,KNa2Al2Li3Si12O30,IMA2018-142,Italy,Approved,1
Aluminotaipingite-(CeCa),Aluminotaipingite-(CeCa),(Ce6Ca3)Al(SiO4)3[SiO3(OH)]4F3,(Ce3+6Ca3)Al(SiO4)3[SiO3(OH)]4F3,IMA2022-126,Italy,Approved,1
Alum-(K),Alum-(K),KAl(SO4)2·12H2O,KAl(S6+O4)2·12H2O,IMA2007 s.p.,Italy ?,"Approved,Renamed",1
Alum-(Na),Alum-(Na),NaAl(SO4)2·12H2O,NaAl(S6+O4)2·12H2O,IMA2007 s.p,?,"Approved,Renamed",1
Alumoåkermanite,Alumoakermanite,"(Ca,Na)2(Al,Mg,Fe2+)(Si2O7)","(Ca,Na)2(Al,Mg,Fe2+)(Si2O7)",IMA2008-049,Tanzania,Approved,1
Alumoedtollite,Alumoedtollite,K2NaCu5AlO2(AsO4)4,K2NaCu2+5AlO2(As5+O4)4,IMA2017-020,Russia,Approved,1
Alumohydrocalcite,Alumohydrocalcite,CaAl2(CO3)2(OH)4·4H2O,CaAl2(CO3)2(OH)4·3H2O,IMA1980 s.p.,Russia,Approved,1
Alumoklyuchevskite,Alumoklyuchevskite,K3Cu2+3AlO2(SO4)4,K3Cu2+3AlO2(S6+O4)4,IMA1993-004,Russia,Approved,1
Alumolukrahnite,Alumolukrahnite,CaCu2+Al(AsO4)2(OH)(H2O),CaCu2+Al(As5+O4)2(OH)(H2O),IMA2022-059,Chile,Approved,1
Alumotantite,Alumotantite,AlTaO4,AlTa5+O4,IMA1980-025,Russia,Approved,1
Alumovesuvianite,Alumovesuvianite,Ca19Al(Al10Mg2)Si18O69(OH)9,Ca19Al(Al10Mg2)Si18O69(OH)9,IMA2016-014,Canada,Approved,1
Alunite,Alunite,KAl3(SO4)2(OH)6,KAl3(S6+O4)2(OH)6,IMA1987 s.p.,Italy / Ukraine,"Approved,Redefined",1
Alunogen,Alunogen,Al2(SO4)3(H2O)12·5H2O,Al2(S6+O4)3(H2O)12·5H2O,,?,"Approved,Grandfathered",1
Alvanite,Alvanite,Zn2+Al4(V5+O3)2(OH)12·2H2O,Zn2+Al4(V5+O3)2(OH)12·2H2O,,Kazakhstan,Approved,1
Alvesite,Alvesite,NaKZrSi6O15·2H2O,NaKZr4+Si6O15·2H2O,IMA2023-069,Portugal,"Approved,Pending publication",1
Alwilkinsite-(Y),Alwilkinsite-(Y),Y(UO2)3(SO4)2O(OH)3(H2O)7·7H2O,Y(U6+O2)3(S6+O4)2O(OH)3(H2O)7·7H2O,IMA2015-097,USA,Approved,1
Amableite-(Ce),Amableite-(Ce),Na15[(Ce1.5Na1.5)Mn3]Mn2Zr3[box]Si[Si24O69(OH)3](OH)2·H2O,Na15[(Ce3+1.5Na1.5)Mn2+3]Mn2+2Zr4+3[box]Si[Si24O69(OH)3](OH)2·H2O,IMA2023-075,Canada,Approved,1
Amakinite,Amakinite,Fe(OH)2,Fe2+(OH)2,IMA1967 s.p.,Russia,Approved,1
Amamoorite,Amamoorite,CaMn2+2Mn3+(Si2O7)O(OH),CaMn2+2Mn3+(Si2O7)O(OH),IMA2018-105,Australia,Approved,1
Amarantite,Amarantite,Fe3+2O(SO4)2·7H2O,Fe3+2O(S6+O4)2·7H2O,,Chile,"Approved,Grandfathered",1
Amarillite,Amarillite,NaFe3+(SO4)2·6H2O,NaFe3+(S6+O4)2·6H2O,,Chile,"Approved,Grandfathered",1
Amaterasuite,Amaterasuite,Sr4Ti6Si4O23(OH)Cl,Sr4Ti4+6Si4O23(OH)Cl,IMA2024-056,Japan,"Approved,Pending publication",1
Amblygonite,Amblygonite,LiAl(PO4)F,LiAlPO4F,,Germany,"Approved,Grandfathered",1
Ambrinoite,Ambrinoite,"[K,(NH4)]2(As,Sb)6(Sb,As)2S13·H2O","[K,(N3-H4)]2(As3+,Sb3+)6(Sb3+,As3+)2S2-13·H2O",IMA2009-071,Italy,Approved,1
Ameghinite,Ameghinite,NaB3O3(OH)4,NaB3O3(OH)4,IMA1966-034,Argentina,Approved,1
Amesite,Amesite,Mg2Al(AlSiO5)(OH)4,Mg2Al(AlSiO5)(OH)4,,USA,"Approved,Grandfathered",1
Amgaite,Amgaite,Tl3+2Te6+O6,Tl3+2Te6+O6,IMA2021-104,Russia,Approved,1
Amicite,Amicite,K2Na2(Al4Si4O16)·5H2O,K2Na2(Si4Al4O16)·5H2O,IMA1979-011,Germany,Approved,1
Aminoffite,Aminoffite,Ca3(BeOH)2Si3O10,Ca3(BeOH)2Si3O10,,Sweden,"Approved,Grandfathered",1
Ammineite,Ammineite,CuCl2·2NH3,Cu2+Cl2(N3-H3)2,IMA2008-032,Chile,Approved,1
