Mineral Name,Mineral Name (plain),Valence Chemistry,IMA Chemistry,IMA Number,Country of Type Locality,IMA Status,isMineral
Ferrorockbridgeite,Ferrorockbridgeite,"(Fe2+,Mn2+)2Fe3+3(PO4)3(OH)4(H2O)","(Fe2+,Mn2+)2Fe3+3(PO4)3(OH)4(H2O)",IMA2018-004,Germany,Approved,1
Ferrorosemaryite,Ferrorosemaryite,[box]NaFe2+(Fe3+Al)(PO4)3,[box]NaFe2+(Fe3+Al)(PO4)3,IMA2003-063,Rwanda,Approved,1
Ferrosaponite,Ferrosaponite,"Ca0.3(Fe2+,Mg,Fe3+)3(Si,Al)4O10(OH)2·4H2O","Ca0.3(Fe2+,Mg,Fe3+)3(Si,Al)4O10(OH)2·4H2O",IMA2002-028,Russia,Approved,1
Ferroselite,Ferroselite,FeSe2,FeSe2,,Russia,"Approved,Grandfathered",1
Ferrosilite,Ferrosilite,Fe2+2Si2O6,Fe2+2Si2O6,IMA1988 s.p.,unknown,"Approved,Renamed",1
Ferroskutterudite,Ferroskutterudite,FeAs3,FeAs3,IMA2006-032,Russia,Approved,1
Ferrostalderite,Ferrostalderite,CuFe2TlAs2S6,Cu1+Fe2+2Tl1+As3+2S2-6,IMA2014-090,Switzerland,Approved,1
Ferrostrunzite,Ferrostrunzite,Fe2+Fe3+2(PO4)2(OH)2·6H2O,Fe2+Fe3+2(PO4)2(OH)2·6H2O,IMA1983-003,USA,Approved,1
Ferrotaaffeite-2N2S,Ferrotaaffeite-2N2S,"(Fe2+,Mg,Zn)3Al8BeO16","(Fe2+,Mg,Zn2+)3Al8BeO16",IMA2011-025,China,Approved,1
Ferrotaaffeite-6N3S,Ferrotaaffeite-6N3S,BeFe2+2Al6O12,BeFe2+2Al6O12,"IMA1979-047, IMA2001 s.p.",Finland,"Approved,Renamed",1
Ferro-taramite,Ferro-taramite,Na(NaCa)(Fe2+3Al2)(Si6Al2)O22(OH)2,Na(NaCa)Fe2+3Al2(Si6Al2)O22(OH)2,"IMA2006-023, IMA2012 s.p.",Norway,"Approved,Redefined",1
Ferrotitanowodginite,Ferrotitanowodginite,Fe2+TiTa2O8,Fe2+Ti4+Ta5+2O8,IMA1998-028,Argentina,Approved,1
Ferrotochilinite,Ferrotochilinite,FeS·≈0.85[Fe(OH)2],6Fe2+S2-·5Fe2+(OH)2,IMA2010-080,Russia,Approved,1
Ferrotorryweiserite,Ferrotorryweiserite,Rh5Fe10S16,Rh5Fe10S16,IMA2021-055,Russia,"Approved,Pending publication",1
Ferro-tschermakite,Ferro-tschermakite,[box]Ca2(Fe2+3Al2)(Si6Al2)O22(OH)2,[box]Ca2(Fe2+3Al2)(Si6Al2)O22(OH)2,IMA2016-116,France,Approved,1
Ferrotychite,Ferrotychite,Na6Fe2+2(CO3)4(SO4),Na6Fe2+2(CO3)4(S6+O4),IMA1980-050,Russia,Approved,1
Ferrovalleriite,Ferrovalleriite,"2[(Fe,Cu)S]·1.53[(Fe,Al,Mg)(OH)2]","2(Fe,Cu)S·1.53[(Fe2+,Al,Mg)(OH)2]",IMA2011-068,Russia,Approved,1
Ferrovorontsovite,Ferrovorontsovite,(Fe5Cu)TlAs4S12,(Fe2+5Cu1+)Tl1+As3+4S2-12,IMA2017-007,Russia,Approved,1
Ferrowodginite,Ferrowodginite,Fe2+Sn4+Ta2O8,Fe2+Sn4+Ta5+2O8,IMA1984-006,Finland,Approved,1
Ferrowyllieite,Ferrowyllieite,NaNaFe2+(Fe2+Al)(PO4)3,NaNaFe2+(Fe2+Al)(PO4)3,IMA1979 s.p.,USA,Approved,1
Ferruccite,Ferruccite,NaBF4,NaBF4,,Italy,"Approved,Grandfathered",1
Fersmanite,Fersmanite,"Ca4(Na,Ca)4(Ti,Nb)4(Si2O7)2O8F3","Ca4(Na,Ca)4(Ti4+,Nb5+)4(Si2O7)2O8F3",,Russia,"Approved,Grandfathered",1
Fersmite,Fersmite,CaNb2O6,CaNb5+2O6,IMA2022 s.p.,Russia,"Approved,Grandfathered,Redefined",1
Feruvite,Feruvite,CaFe2+3(Al5Mg)(Si6O18)(BO3)3(OH)3(OH),CaFe2+3(Al5Mg)(Si6O18)(BO3)3(OH)3OH,IMA1987-057,New Zealand,Approved,1
Fervanite,Fervanite,Fe3+4V5+4O16·5H2O,Fe3+4V5+4O16·5H2O,,USA,"Approved,Grandfathered",1
Fetiasite,Fetiasite,"(Fe2+,Fe3+,Ti4+)3O2As3+2O5","(Fe2+,Fe3+,Ti4+)3O2As3+2O5",IMA1991-019,Italy / Switzerland,Approved,1
Fettelite,Fettelite,[Ag6As2S7][Ag10HgAs2S8],Ag1+16Hg2+As3+4S2-15,IMA1994-056,Germany,Approved,1
Feynmanite,Feynmanite,Na(UO2)(SO4)(OH)·3.5H2O,Na(U6+O2)(S6+O4)(OH)·3.5H2O,IMA2017-035,USA,Approved,1
Fianelite,Fianelite,Mn2+2V2O7·2H2O,Mn2+2V5+2O7·2H2O,IMA1995-016,Switzerland,Approved,1
Fibroferrite,Fibroferrite,Fe3+(SO4)(OH)·5H2O,Fe3+S6+O4(OH)·5H2O,,Chile,"Approved,Grandfathered",1
Fichtelite,Fichtelite,C19H34,C19H34,,Germany,"Approved,Grandfathered",1
Fiedlerite,Fiedlerite,Pb3Cl4F(OH)·H2O,Pb2+3Cl4F(OH)·H2O,IMA1994 s.p.,Greece,"Approved,Redefined",1
Fiemmeite,Fiemmeite,Cu2(C2O4)(OH)2·2H2O,Cu2+2((C2)6+O4)(OH)2·2H2O,IMA2017-115,Italy,Approved,1
Filatovite,Filatovite,"K(Al,Zn)2(As,Si)2O8","K(Al,Zn2+)2(As5+,Si)2O8",IMA2002-052,Russia,Approved,1
Filipstadite,Filipstadite,(Fe3+0.5Sb5+0.5)Mn2+2O4,(Fe3+0.5Sb5+0.5)Mn2+2O4,IMA1987-010,Sweden,"Approved,Redefined",1
Fillowite,Fillowite,Na3CaMn2+11(PO4)9,Na3CaMn2+11(PO4)9,,USA,"Approved,Grandfathered,Redefined",1
Finchite,Finchite,Sr(UO2)2(V2O8)·5H2O,Sr(U6+O2)2(V5+2O8)·5H2O,IMA2017-052,USA,Approved,1
Finescreekite,Finescreekite,[Pb4(OH)4](S2O3)2,[Pb2+4(OH)4](S6+O3S2-)2,IMA2022-030,USA,"Approved,Pending publication",1
Fingerite,Fingerite,Cu11O2(VO4)6,Cu2+11O2(V5+O4)6,IMA1983-064,El Salvador,Approved,1
Finnemanite,Finnemanite,Pb5(As3+O3)3Cl,Pb2+5(As3+O3)3Cl,,Sweden,"Approved,Grandfathered",1
Fischesserite,Fischesserite,Ag3AuSe2,Ag3AuSe2,IMA1971-010,Czech Republic,Approved,1
Fivegite,Fivegite,K4Ca2[AlSi7O17(O2-x(OH)x)][(H2O)2-x(OH)x]Cl (x = 0-2),K4Ca2[AlSi7O17(O2-x(OH)x)][(H2O)2-x(OH)x]Cl (x = 0-2),IMA2009-067,Russia,Approved,1
Fizélyite,Fizelyite,Ag5Pb14Sb21S48,Ag1+5Pb2+14Sb3+21S2-48,,Romania,"Approved,Grandfathered",1
Flaggite,Flaggite,Pb4Cu2+4Te6+2(SO4)2O11(OH)2(H2O),Pb2+4Cu2+4Te6+2(S6+O4)2O11(OH)2(H2O),IMA2021-044,USA,Approved,1
Flagstaffite,Flagstaffite,C10H22O3,C10H22O3,,USA,"Approved,Grandfathered",1
Flamite,Flamite,"Ca8-x(Na,K)x(SiO4)4-x(PO4)x","Ca8-x(Na,K)x(SiO4)4-x(PO4)x",IMA2013-122,Israel,Approved,1
Fleetite,Fleetite,Cu2RhIrSb2,Cu2RhIrSb2,IMA2018-073b,Russia,Approved,1
Fleischerite,Fleischerite,Pb3Ge(SO4)2(OH)6·3H2O,Pb2+3Ge(S6+O4)2(OH)6·3H2O,IMA1962 s.p.,Namibia,Approved,1
Fleisstalite,Fleisstalite,Fe2+(SO3)·3H2O,Fe2+(S4+O3)·3H2O,IMA2016-038,Austria,Approved,1
Fletcherite,Fletcherite,CuNi2S4,Cu2+Ni3+2S2-4,IMA1976-044,USA,Approved,1
Flinkite,Flinkite,Mn2+2Mn3+(AsO4)(OH)4,Mn2+2Mn3+As5+O4(OH)4,,Sweden,"Approved,Grandfathered",1
Flinteite,Flinteite,K2ZnCl4,K2Zn2+Cl4,IMA2014-009,Russia,Approved,1
Florencite-(Ce),Florencite-(Ce),CeAl3(PO4)2(OH)6,Ce3+Al3(PO4)2(OH)6,IMA1987 s.p.,Brazil,"Approved,Renamed",1
Florencite-(La),Florencite-(La),LaAl3(PO4)2(OH)6,La3+Al3(PO4)2(OH)6,IMA1987 s.p.,Democratic Republic of the Congo,"Approved,Renamed",1
Florencite-(Nd),Florencite-(Nd),NdAl3(PO4)2(OH)6,NdAl3(PO4)2(OH)6,IMA1971-xxx,USA,Approved,1
Florencite-(Sm),Florencite-(Sm),SmAl3(PO4)2(OH)6,Sm3+Al3(PO4)2(OH)6,IMA2009-074,Russia,Approved,1
Florenskyite,Florenskyite,FeTiP,FeTiP,IMA1999-013,Yemen (meteorite),Approved,1
Florensovite,Florensovite,Cu(Cr1.5Sb0.5)S4,Cu1+(Cr3+1.5Sb5+0.5)S2-4,IMA1987-012,Russia,Approved,1
Flörkeite,Florkeite,(K3Ca2Na)[Al8Si8O32]·12H2O,(K3Ca2Na)[Al8Si8O32]·12H2O,IMA2008-036,Germany,Approved,1
Fluckite,Fluckite,CaMn2+(AsO3OH)2·2H2O,CaMn2+(As5+O3OH)2·2H2O,IMA1978-054,France,Approved,1
