kingdom,division,class,order,family,genus,species,subspecies,variety,species author,species source,species lsid,species common name,subspecies author,subspecies source,subspecies lsid,subspecies common name,variety author,variety source,variety lsid,variety common name
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,angustifolia,,,Poepp. & Endl.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de4d12-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,anomala,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de4bdc-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,apocalyptica,,,Reitz,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de4ab0-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,aquilega,,aquilega,(Salisb.) Griseb.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de4984-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f64f7c22-29c1-102b-9a4a-00304854f820:ac2008,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,aquilega,,chrysocoma,(Salisb.) Griseb.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de4984-29c1-102b-9a4a-00304854f820:ac2008,,,,,,(Baker) L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f66d07b0-29c1-102b-9a4a-00304854f820:ac2008,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,aquilega,,,(Salisb.) Griseb.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de4984-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,araneosa,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de4858-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,arenaria,,,(Ule) L.B.Sm. & M.A.Spencer,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de472c-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,aripoensis,,,(N.E.Br.) Pittendr.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de4600-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,azurea,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de44d4-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,bahiana,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de43a8-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,bambusoides,,,L.B.Sm. & Reitz,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de427c-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,bicolor,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de4150-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,biflora,,,(L.B.Sm.) L.B.Sm. & M.A.Spencer,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de4024-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,blanchetiana,,,(Baker) L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de3eee-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,blumenavii,,,Reitz,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de3dc2-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,bocainensis,,,E.Pereira & Leme,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de3c96-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,brachycaulis,,,Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de3b6a-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,brachyclada,,,Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de3a3e-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,brachystachys,,,(Harms) L.B.Sm. & M.A.Spencer,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de3912-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,bracteata,,,(Sw.) Griseb.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de37dc-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,brassicoides,,,Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de36b0-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,brevicollis,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de3584-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,bromeliifolia,,,(Rudge) Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de3458-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,bruggeri,,,Leme,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de3322-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,burle-marxii,,,E.Pereira,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de31f6-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,caesia,,,E.Morren ex Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de30ca-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,callichroma,,,Read & Baensch,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de2f9e-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,calyculata,,,(E.Morren) Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de2e68-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,campanulata,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de2d3c-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,canaliculata,,,Leme & H.E.Luther,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de2bac-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,candida,,,E.Morren ex Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de2a80-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,capitata,,,(Schult. & Schult.f.) Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de2954-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,cariocae,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de2828-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
