kingdom,phylum,class,order,family,genus,species,subspecies,family common name,species author,species source,species common name,subspecies author,subspecies source,subspecies common name
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Hypogeophis,montanus,,,"Maddock, Wilkinson & Gower, 2018",https://www.catalogueoflife.org/data/taxon/3NW6C,Hypogeophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Hypogeophis,pti,,,"Maddock, Wilkinson, Nussbaum & Gower, 2017",https://www.catalogueoflife.org/data/taxon/3NW6D,Hypogeophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Hypogeophis,rostratus,,,"(Cuvier, 1829)",https://www.catalogueoflife.org/data/taxon/6MRBJ,Hypogeophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Idiocranium,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Idiocranium,russeli,,,"Parker, 1936",https://www.catalogueoflife.org/data/taxon/3PCYY,Idiocranium,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Indotyphlus,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Indotyphlus,battersbyi,,,"Taylor, 1960",https://www.catalogueoflife.org/data/taxon/3PNWW,Indotyphlus,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Indotyphlus,maharashtraensis,,,"Giri, Wilkinson & Gower, 2004",https://www.catalogueoflife.org/data/taxon/3PNWX,Indotyphlus,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Praslinia,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Praslinia,cooperi,,,"Boulenger, 1909",https://www.catalogueoflife.org/data/taxon/4M9HD,Praslinia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Sylvacaecilia,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Sylvacaecilia,grandisonae,,,"(Taylor, 1970)",https://www.catalogueoflife.org/data/taxon/53N2C,Sylvacaecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,degenerata,,,"Dunn, 1942",https://www.catalogueoflife.org/data/taxon/695DC,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,marcusi,,,"Wake, 1985",https://www.catalogueoflife.org/data/taxon/P7SX,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,thompsoni,,,"Boulenger, 1902",https://www.catalogueoflife.org/data/taxon/P7TL,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,tenuissima,,,"Taylor, 1973",https://www.catalogueoflife.org/data/taxon/P7TK,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,tentaculata,,,"Linnaeus, 1758",https://www.catalogueoflife.org/data/taxon/P7TJ,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,subterminalis,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/P7TH,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,subnigricans,,,"Dunn, 1942",https://www.catalogueoflife.org/data/taxon/P7TG,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,subdermalis,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/P7TF,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,pressula,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/P7TB,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,perdita,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/P7T9,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,pachynema,,,"Günther, 1859",https://www.catalogueoflife.org/data/taxon/P7T7,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,orientalis,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/P7T5,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,occidentalis,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/P7T4,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,nigricans,,,"Boulenger, 1902",https://www.catalogueoflife.org/data/taxon/P7T3,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,museugoeldi,,,"Maciel & Hoogmoed, 2018",https://www.catalogueoflife.org/data/taxon/P7SZ,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,mertensi,,,"Taylor, 1973",https://www.catalogueoflife.org/data/taxon/P7SY,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,leucocephala,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/P7SW,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,abitaguae,,,"Dunn, 1942",https://www.catalogueoflife.org/data/taxon/P7RX,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,corpulenta,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/P7SC,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,albiventris,,,"Daudin, 1803",https://www.catalogueoflife.org/data/taxon/P7RZ,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,antioquiaensis,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/P7S3,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,armata,,,"Dunn, 1942",https://www.catalogueoflife.org/data/taxon/P7S4,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,attenuata,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/P7S5,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,bokermanni,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/P7S8,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,caribea,,,"Dunn, 1942",https://www.catalogueoflife.org/data/taxon/P7SB,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,crassisquama,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/P7SD,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,isthmica,,,"Cope, 1877",https://www.catalogueoflife.org/data/taxon/P7ST,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,disossea,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/P7SF,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,dunni,,,"Hershkovitz, 1938",https://www.catalogueoflife.org/data/taxon/P7SH,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,flavopunctata,,,"Roze & Solano, 1963",https://www.catalogueoflife.org/data/taxon/P7SK,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,gracilis,,,"Shaw, 1802",https://www.catalogueoflife.org/data/taxon/P7SM,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,guntheri,,,"Dunn, 1942",https://www.catalogueoflife.org/data/taxon/P7SN,Caecilia,,,
